"Pathway","Total","Expected","Hits","P.Value","FDR"
"Immune System",1140,511,731,5.01e-47,7.03e-44
"Adaptive Immune System",654,294,440,6.37e-34,4.47e-31
"Cell Cycle, Mitotic",411,185,298,1.33e-31,6.22e-29
"Cell Cycle",508,228,352,7.97e-31,2.79e-28
"Cytokine Signaling in Immune system",286,128,211,4.37e-24,1.22e-21
"Apoptosis",158,71,131,2.35e-23,5.04e-21
"S Phase",122,54.8,107,2.51e-23,5.04e-21
"mRNA Processing",140,62.9,119,3.29e-23,5.76e-21
"Processing of Capped Intron-Containing Pre-mRNA",119,53.4,104,1.97e-22,3.07e-20
"Mitotic G1-G1/S phases",140,62.9,118,2.28e-22,3.19e-20
"Mitotic M-M/G1 phases",266,119,196,2.58e-22,3.28e-20
"mRNA Splicing",115,51.7,101,3.51e-22,3.79e-20
"mRNA Splicing - Major Pathway",115,51.7,101,3.51e-22,3.79e-20
"HIV Infection",214,96.1,164,7.52e-22,7.53e-20
"Class I MHC mediated antigen processing & presentation",267,120,194,6.7e-21,6.26e-19
"Developmental Biology",417,187,279,8.07e-21,7.07e-19
"Signalling by NGF",290,130,204,3.33e-19,2.75e-17
"Antigen processing: Ubiquitination & Proteasome degradation",224,101,165,6.63e-19,5.16e-17
"Synthesis of DNA",95,42.7,83,4.14e-18,3.06e-16
"G1/S Transition",113,50.8,95,4.52e-18,3.17e-16
"M Phase",233,105,168,1.13e-17,7.53e-16
"DNA Replication",102,45.8,87,1.8e-17,1.15e-15
"Signaling by TGF-beta Receptor Complex",70,31.4,64,1.63e-16,9.93e-15
"Removal of licensing factors from origins",71,31.9,64,9.3e-16,5.22e-14
"Regulation of DNA replication",71,31.9,64,9.3e-16,5.22e-14
"Signaling by the B Cell Receptor (BCR)",199,89.4,144,1.6e-15,8.63e-14
"Cell Cycle Checkpoints",131,58.8,103,1.74e-15,9.02e-14
"Hemostasis",511,230,315,2.06e-15,1.03e-13
"Regulation of mRNA Stability by Proteins that Bind AU-rich Elements",88,39.5,75,3.47e-15,1.68e-13
"Switching of origins to a post-replicative state",69,31,62,3.83e-15,1.73e-13
"Orc1 removal from chromatin",69,31,62,3.83e-15,1.73e-13
"Signaling by Interleukins",116,52.1,93,4.41e-15,1.93e-13
"Host Interactions of HIV factors",141,63.3,108,9.66e-15,4.1e-13
"TRIF-mediated TLR3/TLR4 signaling ",87,39.1,73,4.49e-14,1.85e-12
"Mitotic Metaphase and Anaphase",199,89.4,141,5.33e-14,2.13e-12
"Degradation of beta-catenin by the destruction complex",65,29.2,58,6.37e-14,2.41e-12
"Signaling by Wnt",65,29.2,58,6.37e-14,2.41e-12
"Mitotic Anaphase",198,88.9,140,8.58e-14,3.17e-12
"DNA Replication Pre-Initiation",80,35.9,68,9.23e-14,3.24e-12
"M/G1 Transition",80,35.9,68,9.23e-14,3.24e-12
"Transcription",149,66.9,111,1.17e-13,4.01e-12
"MyD88-independent cascade ",88,39.5,73,1.48e-13,4.77e-12
"Toll Like Receptor 3 (TLR3) Cascade",88,39.5,73,1.48e-13,4.77e-12
"Downstream Signaling Events Of B Cell Receptor (BCR)",173,77.7,125,1.5e-13,4.77e-12
"Assembly of the pre-replicative complex",63,28.3,56,2.56e-13,7.99e-12
"Cyclin A:Cdk2-associated events at S phase entry",66,29.6,58,2.96e-13,9.02e-12
"NGF signalling via TRKA from the plasma membrane",207,93,144,3.06e-13,9.14e-12
"Toll Like Receptor 4 (TLR4) Cascade",103,46.3,82,3.96e-13,1.16e-11
"Axon guidance",292,131,191,4.63e-13,1.32e-11
"Interferon Signaling",173,77.7,124,4.88e-13,1.37e-11
"Activated TLR4 signalling",100,44.9,79,2.29e-12,6.3e-11
"APC/C-mediated degradation of cell cycle proteins",89,40,72,2.54e-12,6.71e-11
"Regulation of mitotic cell cycle",89,40,72,2.54e-12,6.71e-11
"Separation of Sister Chromatids",186,83.5,130,2.65e-12,6.87e-11
"Platelet activation, signaling and aggregation",220,98.8,149,3.42e-12,8.71e-11
"RNA Polymerase II Transcription",107,48.1,83,3.84e-12,9.62e-11
