"Pathway","Total","Expected","Hits","P.Value","FDR"
"Focal adhesion",199,8.51,26,3.04e-07,7.52e-05
"Biosynthesis of amino acids",75,3.21,15,4.73e-07,7.52e-05
"Proteoglycans in cancer",201,8.6,25,1.32e-06,0.00014
"Pathogenic Escherichia coli infection",55,2.35,12,2.57e-06,0.000204
"Th1 and Th2 cell differentiation",92,3.94,15,7.01e-06,0.000446
"Type I diabetes mellitus",43,1.84,10,9.74e-06,0.000516
"Allograft rejection",38,1.63,9,2.34e-05,0.00106
"Viral myocarditis",59,2.52,11,3.29e-05,0.00119
"Asthma",31,1.33,8,3.43e-05,0.00119
"Regulation of actin cytoskeleton",214,9.16,23,3.98e-05,0.00119
"PI3K-Akt signaling pathway",354,15.1,32,4.4e-05,0.00119
"Graft-versus-host disease",41,1.75,9,4.48e-05,0.00119
"Leishmaniasis",74,3.17,12,6.18e-05,0.00151
"Phagosome",152,6.5,18,7.96e-05,0.0017
"Inflammatory bowel disease (IBD)",65,2.78,11,8.37e-05,0.0017
"Toxoplasmosis",113,4.83,15,8.56e-05,0.0017
"Antigen processing and presentation",77,3.29,12,9.22e-05,0.00172
"Carbon metabolism",116,4.96,15,0.000116,0.00205
"Cell adhesion molecules (CAMs)",146,6.25,17,0.000155,0.00255
"HTLV-I infection",219,9.37,22,0.00016,0.00255
"ECM-receptor interaction",82,3.51,12,0.000171,0.0026
"Intestinal immune network for IgA production",49,2.1,9,0.000194,0.00281
"Tuberculosis",179,7.66,19,0.00022,0.00304
"Hematopoietic cell lineage",97,4.15,13,0.000229,0.00304
"Bacterial invasion of epithelial cells",74,3.17,11,0.000277,0.0034
"Pathways in cancer",530,22.7,40,0.000278,0.0034
"Glioma",75,3.21,11,0.000312,0.00368
"Autoimmune thyroid disease",53,2.27,9,0.00036,0.00409
"Long-term potentiation",67,2.87,10,0.000505,0.00542
"TGF-beta signaling pathway",92,3.94,12,0.000512,0.00542
"Alanine, aspartate and glutamate metabolism",36,1.54,7,0.000703,0.00721
"HIF-1 signaling pathway",100,4.28,12,0.00109,0.0108
"RNA degradation",79,3.38,10,0.00187,0.018
"cGMP-PKG signaling pathway",166,7.1,16,0.00192,0.018
"Glycolysis / Gluconeogenesis",68,2.91,9,0.00228,0.0207
"Fluid shear stress and atherosclerosis",139,5.95,14,0.00241,0.0213
"Arrhythmogenic right ventricular cardiomyopathy (ARVC)",72,3.08,9,0.0034,0.0292
"Protein processing in endoplasmic reticulum",165,7.06,15,0.0046,0.0385
"Rheumatoid arthritis",91,3.89,10,0.0053,0.0421
"Dilated cardiomyopathy",91,3.89,10,0.0053,0.0421
"Th17 cell differentiation",107,4.58,11,0.00586,0.0455
"Small cell lung cancer",93,3.98,10,0.00618,0.0458
"Shigellosis",65,2.78,8,0.0062,0.0458
"Amphetamine addiction",68,2.91,8,0.00813,0.0574
"Staphylococcus aureus infection",68,2.91,8,0.00813,0.0574
"Cellular senescence",160,6.85,14,0.00847,0.0586
"Aldosterone synthesis and secretion",98,4.19,10,0.00888,0.0599
"Adrenergic signaling in cardiomyocytes",145,6.2,13,0.00904,0.0599
"Glutathione metabolism",56,2.4,7,0.00941,0.061
"Dopaminergic synapse",131,5.6,12,0.0101,0.0631
"Hypertrophic cardiomyopathy (HCM)",85,3.64,9,0.0101,0.0631
"Insulin secretion",86,3.68,9,0.0109,0.0666
"p53 signaling pathway",72,3.08,8,0.0114,0.0669
"Melanoma",72,3.08,8,0.0114,0.0669
"Influenza A",167,7.14,14,0.0121,0.0691
"Epstein-Barr virus infection",201,8.6,16,0.0122,0.0691
"Glucagon signaling pathway",103,4.41,10,0.0124,0.0692
"Neurotrophin signaling pathway",119,5.09,11,0.0127,0.0696
"Salivary secretion",90,3.85,9,0.0144,0.077
"Hippo signaling pathway",154,6.59,13,0.0145,0.077
"Notch signaling pathway",48,2.05,6,0.0158,0.0823
"Parkinson's disease",142,6.07,12,0.0183,0.094
"EGFR tyrosine kinase inhibitor resistance",79,3.38,8,0.0192,0.0967
"Central carbon metabolism in cancer",65,2.78,7,0.0204,0.101
"Mineral absorption",51,2.18,6,0.0208,0.101
"Leukocyte transendothelial migration",112,4.79,10,0.0213,0.101
"Cholinergic synapse",112,4.79,10,0.0213,0.101
"Circadian entrainment",97,4.15,9,0.0226,0.104
"Prostate cancer",97,4.15,9,0.0226,0.104
"RNA transport",165,7.06,13,0.0243,0.111
"Viral carcinogenesis",201,8.6,15,0.0252,0.113
"Transcriptional misregulation in cancer",186,7.96,14,0.0282,0.124
"Melanogenesis",101,4.32,9,0.0285,0.124
"Regulation of lipolysis in adipocytes",55,2.35,6,0.0291,0.125
"Salmonella infection",86,3.68,8,0.0302,0.127
"mTOR signaling pathway",153,6.55,12,0.0307,0.127
"Oxytocin signaling pathway",153,6.55,12,0.0307,0.127
"Ubiquitin mediated proteolysis",137,5.86,11,0.0325,0.132
"Hippo signaling pathway -multiple species",29,1.24,4,0.0336,0.135
"Estrogen signaling pathway",138,5.9,11,0.034,0.135
"Pentose phosphate pathway",30,1.28,4,0.0375,0.147
"Wnt signaling pathway",158,6.76,12,0.038,0.147
"Cell cycle",124,5.3,10,0.0393,0.149
"Platelet activation",124,5.3,10,0.0393,0.149
"Ras signaling pathway",232,9.93,16,0.0401,0.15
"Chronic myeloid leukemia",76,3.25,7,0.0432,0.16
"GnRH signaling pathway",93,3.98,8,0.045,0.164
"Axon guidance",181,7.74,13,0.0463,0.167
"MAPK signaling pathway",295,12.6,19,0.0485,0.173
