"Id","Label","Degree","Betweenness","Expression"
"7316","UBC",1699,15027174.95,0
"3320","HSP90AA1",720,2696441.66,-159.102432443482
"4609","MYC",713,2305929.17,-7.12820437638288
"7341","SUMO1",712,2132155.22,69.4520386219336
"2335","FN1",689,1695296.21,691.516505483405
"7157","TP53",659,2160166.64,-27.2733270757576
"2885","GRB2",635,2412523.85,-61.8936631791727
"7534","YWHAZ",612,1541160.11,1346.73555300625
"3065","HDAC1",541,1449576.17,14.7041657073112
"3676","ITGA4",463,638755.73,13.3667650512265
"2033","EP300",446,1185645.6,3.67301108109668
"7415","VCP",440,1214765.04,-36.5992918244348
"1994","ELAVL1",392,1122779.2,0
"4738","NEDD8",376,642169.51,82.39879999038
"8065","CUL5",366,666083.13,-38.7622469475709
"3066","HDAC2",365,780526.42,-67.8483878547378
"3172","HNF4A",347,724612.36,0
"5970","RELA",340,896403.26,-8.11049084319384
"4193","MDM2",339,713221.84,564.921381477633
"351","APP",333,780182.52,0
"8450","CUL4B",315,550084.72,45.7217243569023
"7531","YWHAE",309,675723.6,-282.905640345118
"1915","EEF1A1",283,478625.77,156.859879292929
"3106","HLA-B",281,320493.5,3.60735026294693
"3312","HSPA8",279,466801.99,-397.102883164983
"5499","PPP1CA",273,986553.76,-123.284497967773
"2534","FYN",273,617657.52,17.7393988225108
"8841","HDAC3",261,460600.56,-23.1855831952862
"8452","CUL3",256,339491.74,0
"3308","HSPA4",251,386058.55,-122.25788164911
"6613","SUMO2",250,351167.65,0
"580","BARD1",247,475004.96,23.7968252037037
"1386","ATF2",241,410963.96,26.2889798201058
"808","CALM2",239,679299.25,-88.5596083340528
"57154","SMURF1",236,328610.55,0.861792548340548
"2547","XRCC6",231,449868.26,131.986821563973
"4163","MCC",231,229311.47,-35.9585288273208
"7529","YWHAB",226,372739.92,-101.432164439875
"6774","STAT3",222,475810.66,-48.6922892888408
"5591","PRKDC",220,297287.95,-58.0800067875902
"9775","EIF4A3",220,232155.43,-28.2648630683021
"4670","HNRNPM",216,190725.3,-66.585755002886
"2099","ESR1",215,392610.31,0
"2130","EWSR1",212,681973.71,-21.0090688225108
"6464","SHC1",207,262653.83,21.9736176222505
"4869","NPM1",203,305703.23,-390.793354593555
"7322","UBE2D2",199,375018.16,-24.1335314050024
"3575","IL7R",199,216541.87,59.3920925666186
"9768","KIAA0101",193,220074.57,0
"5300","PIN1",184,304923.77,-21.6394354194324
"4691","NCL",184,199211.56,124.951056005291
"2597","GAPDH",183,283174.47,3716.97290980279
"4215","MAP3K3",176,183584.68,-4.90001542110011
"5597","MAPK6",175,501187.52,16.0046959468494
"10524","KAT5",173,284291.45,-21.3097354649528
"8878","SQSTM1",171,300527.11,-200.682800817148
"6606","SMN1",170,264630.95,-2.58946388780664
"7520","XRCC5",169,163542.75,120.640450577201
"7132","TNFRSF1A",167,252372.46,15.3883856438191
"120892","LRRK2",164,171753.82,-4.51010131065416
"10289","EIF1B",162,139283.53,54.0822689001924
