"Id","Label","Degree","Betweenness","Expression"
"7316","UBC",585,6777366.31,0
"3065","HDAC1",541,1960376.31,0.73682
"1958","EGR1",518,2216020.11,-0.44516
"3676","ITGA4",463,1269321.84,0.41224
"2033","EP300",446,1449033.82,0.71902
"4738","NEDD8",376,1004600.31,0.7077
"2534","FYN",273,949449.59,0.62377
"580","BARD1",247,701880.17,0.48414
"4734","NEDD4",245,796318.14,0.45437
"1386","ATF2",241,680478.97,0.4521
"57154","SMURF1",236,516089.5,0.5302
"2547","XRCC6",231,558685.89,1.2362
"6464","SHC1",207,540241.12,0.70673
"5594","MAPK1",187,576630.86,0.59136
"4691","NCL",184,316172.49,0.92983
"2597","GAPDH",183,421405.17,1.555
"30011","SH3KBP1",178,499266.3,0.55804
"25942","SIN3A",171,237324.34,0.52825
"7520","XRCC5",169,253972.96,0.67009
"7132","TNFRSF1A",167,378407.51,0.69573
"5564","PRKAB1",165,386702.74,0.47333
"1994","ELAVL1",157,468942.95,0
"4904","YBX1",153,287740.68,0.73321
"2146","EZH2",149,379380.35,0.60689
"3329","HSPD1",142,316771.71,0.62474
"4292","MLH1",138,388391.79,0.55335
"382","ARF6",135,298030.69,0.44411
"55660","PRPF40A",134,264584.25,0
"10492","SYNCRIP",130,230048.09,0.52282
"7533","YWHAH",129,331202.69,0.58632
"3184","HNRNPD",126,183776.48,0.44572
"23451","SF3B1",125,163748.32,0.47702
"331","XIAP",113,250080.47,0.39226
"351","APP",112,279368.9,0
"1021","CDK6",109,320627.8,0.9856
"387","RHOA",107,288111.72,0.67754
"3164","NR4A1",107,274951.14,0.56369
"7332","UBE2L3",105,227577.07,0.80304
"6502","SKP2",105,203445.21,0.56142
"1653","DDX1",105,141282.04,0.59458
"1665","DHX15",103,139562.93,0.6755
"5315","PKM",99,144359.52,1.3477
"6613","SUMO2",98,205788.91,0
"8452","CUL3",98,175398,0
"3172","HNF4A",97,220117.87,0
"2023","ENO1",96,196207.17,1.4712
"9734","HDAC9",96,174468.66,0.39298
"10989","IMMT",91,235182.93,0.62165
"9188","DDX21",90,92898.23,0.50553
"3875","KRT18",89,195156.62,0.71258
"5590","PRKCZ",88,169682.62,0.50441
"7185","TRAF1",86,191764.39,0.54079
"6778","STAT6",85,224021.47,0.63372
"5359","PLSCR1",84,308360.85,0.44931
"8661","EIF3A",84,110661.71,0.80625
"10015","PDCD6IP",82,190763.95,0.42436
"1399","CRKL",81,146438.56,0.41323
"3159","HMGA1",81,109712.24,0.98371
"60491","NIF3L1",78,194807.14,0.59851
"6432","SRSF7",78,92960.62,0.63561
"6634","SNRPD3",78,71323.74,1.0721
"2099","ESR1",77,220922.93,0
"50618","ITSN2",76,182297.04,0.57511
"2335","FN1",76,166375,0
"1647","GADD45A",76,164788.53,0.67857
"4331","MNAT1",75,174631.82,0.46618
"2274","FHL2",75,154312.96,1.0216
"567","B2M",75,153233.84,0.52757
"9768","KIAA0101",74,100483.31,0
"5431","POLR2B",73,122435.26,0.50445
"65125","WNK1",72,184697.47,0.636
"302","ANXA2",72,82958.23,1.2381
"468","ATF4",70,139822.82,0.97659
"84959","UBASH3B",70,89945.11,0.72931
"4609","MYC",69,181459.6,0
"9500","MAGED1",69,173375.28,0.50658
"871","SERPINH1",68,113742.84,0.91204
"26354","GNL3",68,64357.69,0.6385
"220988","HNRNPA3",67,36909.03,0.43553
"1017","CDK2",65,157403.46,0
"51586","MED15",64,145725.03,0.60406
"1459","CSNK2A2",64,121615.5,0.91907
"51592","TRIM33",64,81025.86,0.43306
"51547","SIRT7",64,66930.53,0
"11315","PARK7",63,97846.96,1.114
"6657","SOX2",63,87086.9,0.46824
"1649","DDIT3",62,132237.45,0.53365
"8880","FUBP1",62,114997.02,0.66122
"51602","NOP58",62,47912.18,0.54922
"5621","PRNP",61,189707.05,1.0312
"8078","USP5",60,125521.59,0.68886
"4839","NOP2",60,29835.81,0.69916
"7341","SUMO1",58,111260.33,0
"6727","SRP14",58,82894.1,0.4021
"3030","HADHA",57,80650.82,0.55436
"8531","CSDA",57,63904.11,0.80917
"7289","TULP3",56,169900.75,0.45311
"10987","COPS5",56,47790.52,0
"7417","VDAC2",55,105509.16,0.59844
"10606","PAICS",55,77005.56,0.47539
"1933","EEF1B2",55,45633.41,0.80676
"6635","SNRPE",55,31977.15,-0.56368
"3866","KRT15",54,156429.09,0.40517
"11321","GPN1",54,90826.42,0.6509
"2317","FLNB",54,83328.4,0.61948
"4780","NFE2L2",54,82798.09,0.52844
"1975","EIF4B",54,57166.43,0.70503
"29896","TRA2A",54,48848.51,0.60735
"26227","PHGDH",54,32975.1,1.016
"3336","HSPE1",53,72515.05,0.54864
"50813","COPS7A",53,72333.96,0.6079
"2885","GRB2",52,165247.58,0
"10130","PDIA6",52,62899.86,1.0008
"10109","ARPC2",51,83905.16,1.0607
"301","ANXA1",51,70793.75,0.77569
"5757","PTMA",51,58011.67,0.95123
"7157","TP53",50,141876.19,0
