"Id","Label","Degree","Betweenness","Expression"
"7316","UBC",2263,4454738,0.77559
"351","APP",20,56544,0
"1994","ELAVL1",15,41699,0
"3326","HSP90AB1",13,47633,0.41736
"2534","FYN",12,47634,0.62377
"2146","EZH2",11,44659,0.60426
"3172","HNF4A",11,29805,0
"7431","VIM",10,44658,0.39487
"5597","MAPK6",9,26828,0.33963
"1385","CREB1",6,14915,0.33859
"3065","HDAC1",6,14915,0.72916
"1499","CTNNB1",5,14914,0.40188
"6733","SRPK2",5,14914,0
"7023","TFAP4",5,14914,0.43005
"2869","GRK5",5,11934,0.36937
"56893","UBQLN4",5,11934,0.48919
"1048","CEACAM5",4,11933,0.33532
"10657","KHDRBS1",4,11933,0.3796
"11213","IRAK3",4,11933,0.43671
"5764","PTN",4,11933,0.36534
"7329","UBE2I",4,11933,0.55561
"86","ACTL6A",4,11933,0.39585
"861","RUNX1",4,11933,0.36418
"1021","CDK6",4,8952,0.97212
"10537","UBD",4,8952,0
"3064","HTT",4,8952,0.41224
"5501","PPP1CC",4,8952,0
"7083","TK1",4,8952,0.47464
"7341","SUMO1",4,8952,0.71684
"8517","IKBKG",4,8952,0.40788
"7247","TSN",3,35699,0.54337
"5710","PSMD4",3,20865,0.43424
"2119","ETV5",3,11932,0.44916
"9188","DDX21",3,11932,0.50553
"9877","ZC3H11A",3,11932,0.35939
"10454","TAB1",3,11931,0.33438
"336","APOA2",3,11931,0
"3866","KRT15",3,11931,0.40506
"4773","NFATC2",3,11931,0.37947
"55905","RNF114",3,11931,0.45321
"64978","MRPL38",3,11931,0.35973
"10540","DCTN2",3,8951,0.63602
"1822","ATN1",3,8951,0.51291
"1857","DVL3",3,8951,0.42117
"2065","ERBB3",3,8951,0.49808
"219333","USP12",3,8951,0.3829
"3202","HOXA5",3,8951,0.331
"468","ATF4",3,8951,0.97659
"5327","PLAT",3,8951,0.57722
"58","ACTA1",3,8951,0.5594
"6275","S100A4",3,8951,0.6299
"7421","VDR",3,8951,0.37926
"8667","EIF3H",3,8951,0.40825
"93","ACVR2B",3,8951,0.34115
"10015","PDCD6IP",3,5969,0.42396
"10155","TRIM28",3,5969,0.4905
"10253","SPRY2",3,5969,0.64421
"1052","CEBPD",3,5969,0
"10542","LAMTOR5",3,5969,0.49365
"10681","GNB5",3,5969,0.3619
"10971","YWHAQ",3,5969,0.33268
"1282","COL4A1",3,5969,0.61289
"1457","CSNK2A1",3,5969,0.48135
"1460","CSNK2B",3,5969,0.49081
"2192","FBLN1",3,5969,0.4195
"22976","PAXIP1",3,5969,0
"23327","NEDD4L",3,5969,0.55831
"23400","ATP13A2",3,5969,0
"23410","SIRT3",3,5969,0
"23411","SIRT1",3,5969,0
"25805","BAMBI",3,5969,0.76627
"25913","POT1",3,5969,0
"26270","FBXO6",3,5969,0
"26524","LATS2",3,5969,0
"27429","HTRA2",3,5969,0.36048
"310","ANXA7",3,5969,0.55613
"3654","IRAK1",3,5969,0.55669
"4609","MYC",3,5969,0
"4791","NFKB2",3,5969,0.38915
"5359","PLSCR1",3,5969,0.44931
"5411","PNN",3,5969,0.65092
"5499","PPP1CA",3,5969,0
"55832","CAND1",3,5969,0
"55914","ERBB2IP",3,5969,0
"5594","MAPK1",3,5969,0.59097
"5888","RAD51",3,5969,0.54177
"6259","RYK",3,5969,0.35877
"6310","ATXN1",3,5969,0
"63875","MRPL17",3,5969,0.34948
"65057","ACD",3,5969,0.38664
"6598","SMARCB1",3,5969,0.60381
"6732","SRPK1",3,5969,0
"7099","TLR4",3,5969,0.36659
"773","CACNA1A",3,5969,0
"79001","VKORC1",3,5969,0
"7917","BAG6",3,5969,0.39748
"9093","DNAJA3",3,5969,0.48354
"9094","UNC119",3,5969,0
"9657","IQCB1",3,5969,0
"3091","HIF1A",2,14905,0.41725
"7392","USF2",2,14905,0.39088
"51150","SDF4",2,11928,0.57611
"811","CALR",2,11928,0.49185
"100505385","SCHIP1",2,8949,0.50646
"10682","EBP",2,8949,0.60652
"1876","E2F6",2,8949,0.39166
"379","ARL4D",2,8949,0.3615
"6934","TCF7L2",2,8949,0.55998
"864","RUNX3",2,8949,0.53106
"8881","CDC16",2,8949,0.38029
"11272","PRR4",2,5968,0.81989
"113000","RPUSD1",2,5968,0.44097
"11315","PARK7",2,5968,1.1125
"1459","CSNK2A2",2,5968,0.91907
"23062","GGA2",2,5968,0.43779
"23450","SF3B3",2,5968,0.49575
"23499","MACF1",2,5968,0.80929
"26289","AK5",2,5968,0.36528
"27238","GPKOW",2,5968,0.3973
"27349","MCAT",2,5968,0.45833
"328","APEX1",2,5968,0.4287
"347","APOD",2,5968,0.49714
"3480","IGF1R",2,5968,0
"3516","RBPJ",2,5968,0.59643
