Names	total	elements
BRAF Mutant vs Wild-type  Cell Resistant vs Parentals	416	TMEM216
		GNL3
		ITGA5
		CADM4
		TMSB10
		EP300
		TRIB3
		MMS22L
		TNS3
		RUNX3
		ROCK2
		DGUOK
		CTDSP2
		TIAL1
		FOXM1
		HSPD1
		EIF1
		KLHL36
		C12orf75
		DDX18
		CDC42EP3
		SRP72
		BST1
		MAGOHB
		TTC13
		PHB2
		R3HDM2
		FST
		LDLR
		RCAN1
		BICD1
		TNFRSF1A
		PHGDH
		SPAG6
		B2M
		PPFIBP1
		NT5E
		KIAA0232
		SMS
		CSNK2A2
		SPATS2L
		POU3F2
		IL1RAPL1
		HLA-DQA1
		GRAMD1C
		ANXA2
		YBX1
		MTF2
		AXL
		GHITM
		SH3TC2
		TLE3
		MRPL46
		FXYD5
		NR4A1
		NFE2L3
		MINPP1
		CLPTM1L
		TTL
		PLEKHB2
		NACA2
		G6PD
		THBS1
		MTHFD1L
		NCL
		SYT11
		DDX21
		ADAR
		HADHB
		ODC1
		SDC3
		CBWD2
		LAMTOR4
		CKAP2L
		FGF13
		ACP1
		PDIA6
		MAF
		MAGEA12
		CIAPIN1
		ADAT1
		HDAC1
		MRPL51
		SNRPB2
		IGFBP3
		OST4
		TSFM
		MT2A
		DYNLT3
		AAK1
		HSBP1
		GULP1
		SHMT2
		HDLBP
		RCN3
		MAP4
		MACF1
		RECQL
		DEPDC7
		TIMP3
		TAGLN2
		ZBTB38
		CCT2
		HSD17B11
		XRCC6
		WDR75
		ZMYND8
		TBXA2R
		LPXN
		RCC2
		EXOSC9
		ZFP36L2
		FTL
		TRPV2
		CPSF3
		HLA-DMB
		ADAMTS4
		MAML3
		MRPL20
		CACUL1
		GPR176
		IFNGR2
		ANKRD11
		CAP1
		GPRC5A
		RBX1
		PPIB
		CD9
		USP53
		PFKM
		EEF1B2
		STAT6
		MT1X
		NUP50
		PRR4
		EHBP1
		PRNP
		SEC31A
		POLR2D
		BCAS4
		RTN4
		PTMA
		DFFA
		SERPINE2
		NQO1
		BAZ2A
		OS9
		SLC4A1AP
		SLC20A1
		CAPRIN2
		MAGEA6
		ASNS
		SMU1
		ISG20
		GPN1
		MRPL40
		LOXL3
		GDI2
		MLF2
		ARL3
		PPAT
		EXTL1
		DOCK5
		NOL9
		WWTR1
		HLA-DRB1
		SLC38A1
		HLA-B
		TCF7L2
		WSB2
		GPD2
		UGP2
		NDUFA9
		ANK3
		ST13
		PRAME
		WNK1
		MAGED2
		KPNA6
		TFPI2
		TOMM7
		PGD
		PITPNB
		PISD
		ITPR3
		SPOCK1
		UTP20
		COX7A2L
		GLTP
		DDX11
		AP3S2
